Prov,Kota,Kec,Kel,TPS,Suara Sah,Total Suara,Paslon 1,Paslon 2,Paslon 3,Link Dokumen
JAMBI, MERANGIN,PANGKALAN JAMBU,BUKIT PERENTAK,TPS 002,220,226,37,175,6,https://sirekap-obj-formc.kpu.go.id/bc16/pemilu/ppwp/15/02/17/20/02/1502172002002-20240216-135030--7f04ae86-ea06-4049-a6a1-d358619dfe4f.jpg
JAMBI, MERANGIN,PANGKALAN JAMBU,TIGA ALUR,TPS 002,0,0,56,140,10,https://sirekap-obj-formc.kpu.go.id/2839/pemilu/ppwp/15/02/17/20/04/1502172004002-20240216-093910--087086da-25bf-406b-8398-0915836ea469.jpg
JAMBI, MERANGIN,SUNGAI MANAU,PALIPAN,TPS 003,,,51,183,12,https://sirekap-obj-formc.kpu.go.id/ff2b/pemilu/ppwp/15/02/04/20/09/1502042009003-20240215-030324--7a77160e-3d63-4bd6-8094-f6c89e8ace88.jpg
JAMBI, MERANGIN,TABIR,DUSUN BARU,TPS 011,233,236,110,107,17,https://sirekap-obj-formc.kpu.go.id/848a/pemilu/ppwp/15/02/05/10/02/1502051002011-20240215-113324--66c38a03-1215-42f3-9836-39e0b3d9d31e.jpg
JAMBI, MERANGIN,TABIR,KOTO RAYO,TPS 003,240,245,77,155,88,https://sirekap-obj-formc.kpu.go.id/4fcb/pemilu/ppwp/15/02/05/20/08/1502052008003-20240216-094711--c3879ed1-8fa5-42b1-a779-678485a01bbb.jpg
JAMBI, MERANGIN,TABIR,MAMPUN,TPS 004,236,240,34,198,3,https://sirekap-obj-formc.kpu.go.id/efdd/pemilu/ppwp/15/02/05/10/20/1502051020004-20240215-122649--f1beb719-d85e-4d5f-b203-cf15d4bd0a15.jpg
JAMBI, MERANGIN,TABIR LINTAS,KOTO BARU,TPS 004,238,246,56,143,35,https://sirekap-obj-formc.kpu.go.id/d8ce/pemilu/ppwp/15/02/22/20/04/1502222004004-20240216-142136--10735a3c-c248-4d1f-805d-95d3153f31fc.jpg
JAMBI, MERANGIN,TABIR SELATAN,BUNGO ANTOI,TPS 003,202,209,27,147,34,https://sirekap-obj-formc.kpu.go.id/26d2/pemilu/ppwp/15/02/08/20/02/1502082002003-20240214-194409--9710dfa0-f2e0-4b04-9042-88999936aaf8.jpg
JAMBI, MERANGIN,TABIR SELATAN,MUARA DELANG,TPS 016,154,160,68,73,17,https://sirekap-obj-formc.kpu.go.id/d20c/pemilu/ppwp/15/02/08/20/03/1502082003016-20240214-185925--2d0a11e8-959f-4860-8174-d48056633d24.jpg
JAMBI, MERANGIN,TABIR SELATAN,MUARA DELANG,TPS 017,183,186,40,222,0,https://sirekap-obj-formc.kpu.go.id/3c78/pemilu/ppwp/15/02/08/20/03/1502082003017-20240214-202150--db7d2591-ef91-4d5c-929c-8a44e3ec1a2a.jpg
JAMBI, MERANGIN,TABIR SELATAN,SUNGAI SAHUT,TPS 007,,,14,90,30,https://sirekap-obj-formc.kpu.go.id/826f/pemilu/ppwp/15/02/08/20/01/1502082001007-20240214-224957--ffda58b2-a473-4b64-9ad5-57da919b0956.jpg
JAMBI, MERANGIN,TABIR TIMUR,SUNGAI BULIAN,TPS 005,190,196,10,150,29,https://sirekap-obj-formc.kpu.go.id/72f4/pemilu/ppwp/15/02/15/20/02/1502152002005-20240217-134037--8d8384f5-dcb5-4f2d-95d5-9b5cb10f119e.jpg
JAMBI, MERANGIN,TABIR ULU,MUARA JERNIH,TPS 002,215,0,36,166,14,https://sirekap-obj-formc.kpu.go.id/dd70/pemilu/ppwp/15/02/07/20/09/1502072009002-20240217-110345--37154c5d-7aec-479f-a0ea-08f78b5b2a08.jpg
JAMBI, MUARO JAMBI,BAHAR SELATAN,BUKIT SUBUR,TPS 002,193,197,17,136,76,https://sirekap-obj-formc.kpu.go.id/80f0/pemilu/ppwp/15/05/10/20/01/1505102001002-20240214-155740--df122f03-f276-4c8a-8cb8-69f8f10b4c0a.jpg
JAMBI, MUARO JAMBI,BAHAR SELATAN,TANJUNG LEBAR,TPS 015,173,174,8,111,53,https://sirekap-obj-formc.kpu.go.id/d182/pemilu/ppwp/15/05/10/20/10/1505102010015-20240214-141102--ce24eadb-d867-4b20-b93d-12b19144e6f1.jpg
JAMBI, MUARO JAMBI,JAMBI LUAR KOTA,KEDEMANGAN,TPS 002,143,145,0,0,0,https://sirekap-obj-formc.kpu.go.id/7978/pemilu/ppwp/15/05/01/20/15/1505012015002-20240217-151754--ecfc66bc-41d6-47e4-b82e-9e033b8b099c.jpg
JAMBI, MUARO JAMBI,JAMBI LUAR KOTA,MENDALO DARAT,TPS 023,219,220,68,129,41,https://sirekap-obj-formc.kpu.go.id/0eb9/pemilu/ppwp/15/05/01/20/07/1505012007023-20240216-144254--631be5dc-377e-406b-af3e-78d71aeca585.jpg
JAMBI, MUARO JAMBI,JAMBI LUAR KOTA,MUHAJIRIN,TPS 005,166,170,53,5,8,https://sirekap-obj-formc.kpu.go.id/0697/pemilu/ppwp/15/05/01/20/16/1505012016005-20240215-050226--36d84521-cfbf-41b5-aebc-1d99d94945bb.jpg
JAMBI, MUARO JAMBI,KUMPEH,TANJUNG,TPS 003,169,200,49,118,11,https://sirekap-obj-formc.kpu.go.id/43e0/pemilu/ppwp/15/05/03/10/08/1505031008003-20240215-215720--76707e6c-dcd4-4115-82c5-515f6ce74aeb.jpg
JAMBI, MUARO JAMBI,KUMPEH ULU,ARANG ARANG,TPS 006,268,272,0,0,0,https://sirekap-obj-formc.kpu.go.id/3ceb/pemilu/ppwp/15/05/06/20/16/1505062016006-20240216-193316--f47f4990-41b3-47a1-be29-e2f9c256c67b.jpg
